	FC_N	FC_CI	FC_CO	time_cost
787	1.0	128.0	1024.0	27.0
788	1.0	1024.0	10.0	8.0
789	1.0	128.0	1024.0	25.0
790	1.0	1024.0	10.0	9.0
791	1.0	128.0	1024.0	23.0
792	1.0	1024.0	10.0	7.0
793	1.0	128.0	1024.0	24.0
794	1.0	1024.0	10.0	8.0
795	1.0	288.0	1024.0	40.0
796	1.0	1024.0	10.0	9.0
797	1.0	288.0	1024.0	42.0
798	1.0	1024.0	10.0	11.0
799	1.0	288.0	1024.0	46.0
800	1.0	1024.0	10.0	9.0
801	1.0	288.0	1024.0	46.0
802	1.0	1024.0	10.0	8.0
803	1.0	288.0	1024.0	44.0
804	1.0	1024.0	10.0	9.0
805	1.0	288.0	1024.0	42.0
806	1.0	1024.0	10.0	6.0
807	1.0	288.0	1024.0	48.0
808	1.0	1024.0	10.0	8.0
809	1.0	288.0	1024.0	37.0
810	1.0	1024.0	10.0	8.0
811	1.0	288.0	1024.0	39.0
812	1.0	1024.0	10.0	9.0
813	1.0	288.0	1024.0	43.0
814	1.0	1024.0	10.0	8.0
815	1.0	288.0	1024.0	47.0
816	1.0	1024.0	10.0	11.0
817	1.0	288.0	1024.0	56.0
818	1.0	1024.0	10.0	10.0
819	1.0	288.0	1024.0	43.0
820	1.0	1024.0	10.0	9.0
821	1.0	288.0	1024.0	37.0
822	1.0	1024.0	10.0	7.0
823	1.0	288.0	1024.0	47.0
824	1.0	1024.0	10.0	9.0
825	1.0	1152.0	1024.0	92.0
826	1.0	1024.0	10.0	9.0
827	1.0	1152.0	1024.0	90.0
828	1.0	1024.0	10.0	9.0
829	1.0	1152.0	1024.0	108.0
830	1.0	1024.0	10.0	9.0
831	1.0	1152.0	1024.0	99.0
832	1.0	1024.0	10.0	12.0
833	1.0	1152.0	1024.0	104.0
834	1.0	1024.0	10.0	8.0
835	1.0	1152.0	1024.0	107.0
836	1.0	1024.0	10.0	11.0
837	1.0	1152.0	1024.0	97.0
838	1.0	1024.0	10.0	8.0
839	1.0	1152.0	1024.0	88.0
840	1.0	1024.0	10.0	8.0
841	1.0	1152.0	1024.0	105.0
842	1.0	1024.0	10.0	8.0
843	1.0	1152.0	1024.0	111.0
844	1.0	1024.0	10.0	8.0
845	1.0	1152.0	1024.0	90.0
846	1.0	1024.0	10.0	9.0
847	1.0	1152.0	1024.0	111.0
848	1.0	1024.0	10.0	9.0
849	1.0	1152.0	1024.0	117.0
850	1.0	1024.0	10.0	13.0
851	1.0	1152.0	1024.0	94.0
852	1.0	1024.0	10.0	7.0
853	1.0	1152.0	1024.0	103.0
854	1.0	1024.0	10.0	8.0
855	1.0	576.0	1024.0	55.0
856	1.0	1024.0	10.0	7.0
857	1.0	576.0	1024.0	82.0
858	1.0	1024.0	10.0	18.0
859	1.0	576.0	1024.0	58.0
860	1.0	1024.0	10.0	12.0
861	1.0	576.0	1024.0	58.0
862	1.0	1024.0	10.0	13.0
863	1.0	576.0	1024.0	64.0
864	1.0	1024.0	10.0	9.0
865	1.0	576.0	1024.0	58.0
866	1.0	1024.0	10.0	17.0
867	1.0	576.0	1024.0	57.0
868	1.0	1024.0	10.0	12.0
869	1.0	576.0	1024.0	55.0
870	1.0	1024.0	10.0	9.0
871	1.0	576.0	1024.0	60.0
872	1.0	1024.0	10.0	14.0
873	1.0	576.0	1024.0	56.0
874	1.0	1024.0	10.0	16.0
875	1.0	576.0	1024.0	57.0
